"Concurso","Data Sorteio","Bola1","Bola2","Bola3","Bola4","Bola5","Bola6","Bola7","Bola8","Bola9","Bola10","Bola11","Bola12","Bola13","Bola14","Bola15","Ganhadores 15 acertos","Cidade / UF","Rateio 15 acertos","Ganhadores 14 acertos","Rateio 14 acertos","Ganhadores 13 acertos","Rateio 13 acertos","Ganhadores 12 acertos","Rateio 12 acertos","Ganhadores 11 acertos","Rateio 11 acertos","Acumulado 15 acertos","Arrecadacao Total","Estimativa Prêmio","Acumulado sorteio especial Lotofácil da Independência","Observação"
"998","23/12/2013","1","2","3","4","5","9","11","12","14","17","19","20","21","22","23","4","MANAUS/AM; ITABUNA/BA; Aracaju/SE; TAPIRATIBA/SP","R$375.122,75","503","R$1.311,24","19696","R$12,50","252244","R$5,00","1404744","R$2,50","R$0,00","R$18.894.196,25","R$1.500.000,00","R$16.867.936,36","SORTEIO REALIZADO EM ESTÚDIO DE TV."
"999","27/12/2013","1","2","5","6","7","8","10","12","13","14","15","16","18","21","24","13","MANAUS/AM; RUY BARBOSA/BA; VALENÇA/BA; FORTALEZA/CE; BRASÍLIA/DF; GOIÂNIA/GO; IPAMERI/GO; GUARANÉSIA/MG; JURAMENTO/MG; CAMPINA GRANDE/PB; RECIFE/PE; CIANORTE/PR; SÃO PAULO/SP","R$137.174,65","3312","R$236,67","23248","R$12,50","278379","R$5,00","1533006","R$2,50","R$0,00","R$21.432.236,25","R$1.500.000,00","R$17.279.460,32","Sorteio realizado em Estúdio de TV."
"1000","30/12/2013","2","3","4","8","11","12","13","14","15","16","17","18","19","20","22","5","SÃO LUIS/MA; CAMPINA VERDE/MG; RIO MANSO/MG; FLÓRIDA PAULISTA/SP; SÃO PAULO/SP","R$360.234,73","504","R$1.570,88","17116","R$12,50","177777","R$5,00","1174300","R$2,50","R$0,00","R$18.167.571,25","R$1.500.000,00","R$17.695.115,78","Sorteio realizado em Estúdio de TV."
"1001","03/01/2014","5","6","7","8","10","11","12","13","14","17","19","20","21","23","25","2","VITÓRIA/ES; GUARULHOS/SP","R$872.757,74","552","R$1.389,96","23908","R$12,50","279583","R$5,00","1512176","R$2,50","R$0,00","R$21.157.848,75","R$1.500.000,00","R$18.097.927,05","SORTEIO REALIZADO EM ESTÚDIO DE TV."
"1002","06/01/2014","3","4","8","10","12","13","14","15","16","17","18","20","21","22","24","3","RIO BRANCO/AC; UBERLÂNDIA/MG; CAMBÉ/PR","R$539.409,18","463","R$1.536,30","21800","R$12,50","281706","R$5,00","1399181","R$2,50","R$0,00","R$19.844.837,50","R$1.500.000,00","R$18.471.364,17","Sorteio realizado em Estúdio de TV."
"1003","09/01/2014","1","2","3","6","8","10","12","14","16","17","19","20","21","23","25","20","BA; DF; ES; MG; PA; PE; RS; SP","R$83.616,45","1491","R$493,01","30893","R$12,50","264106","R$5,00","1286624","R$2,50","R$0,00","R$19.534.005,00","R$1.500.000,00","R$18.857.286,23",""
"1004","10/01/2014","1","2","3","6","10","12","14","15","18","19","20","21","22","24","25","2","CAMPO GRANDE/MS; GUARATUBA/PR","R$915.764,38","634","R$1.269,82","16516","R$12,50","225118","R$5,00","1266871","R$2,50","R$0,00","R$19.365.566,25","R$1.500.000,00","R$19.279.946,72","Sorteio realizado em Estúdio de TV."
"1005","13/01/2014","1","5","7","9","10","12","14","15","16","18","19","20","21","22","24","6","DAVINÓPOLIS/MA; SABARÁ/MG; PONTA GROSSA/PR; NOVA IGUAÇU/RJ; CAMPO LIMPO PAULISTA/SP; CAPIVARI/SP","R$276.720,60","1029","R$709,24","27316","R$12,50","277192","R$5,00","1409828","R$2,50","R$0,00","R$20.220.847,50","R$1.500.000,00","R$19.663.098,32","Sorteio realizado em Estúdio de TV."
"1006","15/01/2014","1","3","4","5","6","7","9","13","14","15","16","20","22","23","24","0","","R$0,00","1040","R$737,87","20930","R$12,50","249120","R$5,00","1313774","R$2,50","R$1.745.812,02","R$19.601.950,00","R$4.300.000,00","R$20.065.978,02",""
"1007","17/01/2014","1","2","3","6","7","9","10","11","12","18","20","22","23","24","25","3","BELÉM/PA; ANGRA DOS REIS/RJ; SÃO PAULO/SP","R$1.471.047,16","780","R$1.503,14","30264","R$12,50","372775","R$5,00","2076704","R$2,50","R$0,00","R$30.205.492,50","R$1.500.000,00","R$20.681.515,60","Sorteio realizado em Estúdio de TV."
"1008","20/01/2014","1","3","6","7","8","9","10","12","13","16","17","18","19","21","22","3","ITUIUTABA/MG; VACARIA/RS; SANTOS/SP","R$599.333,56","464","R$1.703,29","17351","R$12,50","229223","R$5,00","1308420","R$2,50","R$0,00","R$19.504.476,25","R$1.500.000,00","R$21.096.438,85","Sorteio realizado em Estúdio de TV."
"1009","22/01/2014","2","4","6","9","10","11","12","14","15","17","18","19","20","22","24","5","ILHÉUS/BA; SALVADOR/BA; RIO PARDO DE MINAS/MG; ARARUAMA/RJ; SÃO PAULO/SP","R$296.150,96","783","R$831,26","26432","R$12,50","287528","R$5,00","1428594","R$2,50","R$0,00","R$19.523.170,00","R$1.500.000,00","R$21.438.151,52",""
"1010","24/01/2014","1","2","4","6","8","10","11","13","14","15","16","19","21","22","23","1","HORTOLÂNDIA/SP","R$1.814.272,50","781","R$1.021,10","23337","R$12,50","258572","R$5,00","1335140","R$2,50","R$0,00","R$20.240.820,00","R$1.500.000,00","R$21.856.829,79","SORTEIO REALIZADO EM ESTÚDIO DE TV."
"1011","27/01/2014","1","3","4","5","7","9","10","13","15","17","18","19","23","24","25","11","SALVADOR/BA; VILA VELHA/ES; APARECIDA DE GOIÂNIA/GO; RIO QUENTE/GO; SETE LAGOAS/MG; PAULISTA/PE; MARECHAL CÂNDIDO RONDON/PR; RIO DE JANEIRO/RJ; CAPIVARI/SP; SANTANA DE PARNAÍBA/SP; SÃO PAULO/SP","R$82.614,29","1392","R$286,96","43614","R$12,50","417821","R$5,00","1647955","R$2,50","R$0,00","R$19.880.980,00","R$1.500.000,00","R$22.066.543,00","Sorteio realizado em Estúdio de TV."
"1012","29/01/2014","1","2","7","9","11","12","14","15","16","17","18","21","22","24","25","2","Curitiba/PR; SÃO PAULO/SP","R$865.822,37","497","R$1.531,51","21639","R$12,50","230443","R$5,00","1301971","R$2,50","R$0,00","R$19.272.168,75","R$1.500.000,00","R$22.466.153,34",""
